date,home_team,away_team,home_score,away_score,home_elo,away_elo,home_ema_gf,away_ema_gf,home_ema_ga,away_ema_ga,home_ema_offense_rating,away_ema_offense_rating,Elo_Diff,Rest_Diff,Form_Offense_Diff,Form_Defense_Diff,Elite_Offense_Diff,Match_Outcome
2000-06-07,Iran,Egypt,1,1,1743,1682,1.0,0.3289036544850499,0.8671096345514949,0.9401993355481726,1.1173532668881505,0.3188172757475083,61,-23.0,0.6710963455149501,-0.07308970099667766,0.7985359911406422,1.0
2000-06-07,Mexico,South Africa,4,2,1824,1666,1.1804455445544555,0.9478049450010784,1.3784653465346537,1.7752789160996847,1.3862118811881188,0.9882221525068134,158,26.0,0.23264059955337713,-0.396813569565031,0.39798972868130533,2.0
2000-06-09,Australia,Paraguay,0,0,1778,1866,1.0,2.1,3.0,0.55,1.278,2.3869,-88,24.0,-1.1,2.45,-1.1088999999999998,1.0
2000-06-09,South Korea,Egypt,1,0,1764,1682,0.5099009900990099,0.55,0.0,0.9599009900990099,0.5795057755775578,0.5966084158415841,82,28.0,-0.040099009900990135,-0.9599009900990099,-0.017102640264026303,2.0
2000-06-10,Belgium,Sweden,2,1,1784,1827,1.7308970099667773,1.0,0.9269102990033223,1.0,2.20516057585825,1.226372093023256,-43,23.0,0.7308970099667773,-0.07308970099667766,0.9787884828349942,2.0
2000-06-11,Tunisia,Senegal,4,1,1637,1454,0.9490009999803927,0.6578073089700998,1.0141173702476423,1.3289036544850499,1.0832498447742855,0.5854485049833887,183,2.0,0.2911936910102929,-0.3147862842374076,0.4978013397908968,2.0
2000-06-11,United States,Mexico,3,0,1808,1824,2.367855532244466,1.989862943863846,0.7478676888688457,1.5568910413521304,2.574507179597786,2.2636369221518535,-16,4.0,0.3779925883806199,-0.8090233524832847,0.31087025744593255,2.0
2000-06-11,Netherlands,Czechia,1,0,1998,1917,1.196013289036545,2.32890365448505,0.9269102990033223,1.803986710963455,1.4576212624584717,2.8327751937984496,81,22.0,-1.1328903654485052,-0.8770764119601328,-1.3751539313399779,2.0
2000-06-12,Australia,Paraguay,0,0,1778,1866,0.44999999999999996,1.255813953488372,1.3499999999999999,0.3289036544850499,0.5751,1.4273820598006643,-88,0.0,-0.8058139534883721,1.02109634551495,-0.8522820598006644,1.0
2000-06-12,Portugal,England,3,2,2018,1852,1.0,0.55,1.0,0.55,1.1893333333333334,0.7417666666666667,166,14.0,0.44999999999999996,0.44999999999999996,0.44756666666666667,2.0
2000-06-13,Norway,Spain,1,0,1804,1962,1.1606435643564355,0.55,1.3784653465346537,0.55,1.3508658415841583,0.6699,-158,20.0,0.6106435643564354,0.8284653465346536,0.6809658415841583,2.0
2000-06-15,Sweden,Turkey,0,0,1827,1754,1.0,0.0,1.3294554455445544,2.0,1.214169471947195,0.0,73,-25.0,1.0,-0.6705445544554456,1.214169471947195,1.0
2000-06-15,Australia,Paraguay,2,1,1778,1866,0.2691029900332226,0.842079207920792,0.8073089700996677,0.22054455445544557,0.3439136212624584,0.9571232673267326,-88,0.0,-0.5729762178875695,0.5867644156442222,-0.6132096460642742,2.0
2000-06-16,Algeria,Senegal,1,1,1507,1454,0.8794554455445546,0.7705445544554456,0.22054455445544557,2.208910891089109,0.8313821782178219,0.7521150165016502,53,25.0,0.10891089108910901,-1.9883663366336635,0.07926716171617165,1.0
2000-06-16,France,Czechia,2,1,2110,1917,2.9883663366336632,1.5616336633663366,0.8685643564356436,1.5391089108910891,3.4453376237623763,1.8995019801980197,193,5.0,1.4267326732673267,-0.6705445544554456,1.5458356435643565,2.0
2000-06-17,Egypt,Ghana,2,0,1682,1509,0.3921099586282622,0.5382059800664452,0.9714123252485245,1.0598006644518274,0.4253383659143937,0.587362126245847,173,-22.0,-0.14609602143818295,-0.08838833920330291,-0.16202376033145333,2.0
2000-06-17,England,Germany,1,0,1852,1882,1.1328903654485052,1.6589108910891088,1.5348837209302326,1.5099009900990097,1.5252115171650054,2.088729207920792,-30,-9.0,-0.5260205256406036,0.024982730831222932,-0.5635176907557866,2.0
2000-06-18,Ivory Coast,Tunisia,2,2,1572,1637,2.0,1.7414508273392901,0.0,1.0104506015546884,2.1158,1.8089698394779001,-65,23.0,0.25854917266070987,-1.0104506015546884,0.3068301605221,1.0
2000-06-19,Belgium,Turkey,0,2,1784,1754,1.8195544554455443,0.0,0.9509900990099012,0.8999999999999999,2.281211881188119,0.0,30,5.0,1.8195544554455443,0.05099009900990126,2.281211881188119,0.0
2000-06-20,Portugal,Germany,3,0,2018,1882,2.1,1.1826826924962255,1.55,1.3635222838767866,2.5724,1.4891118605517537,136,5.0,0.9173173075037746,0.1864777161232134,1.0832881394482463,2.0
2000-06-21,Netherlands,France,3,2,1998,2110,1.1314356435643564,2.7046332424854413,0.6215346534653466,0.9062959549812749,1.3984440594059406,3.190032979745495,-112,5.0,-1.573197598921085,-0.28476130151592827,-1.7915889203395543,2.0
2000-06-24,Portugal,Turkey,2,0,2018,1754,2.4617940199335546,0.8039867109634552,0.9269102990033223,0.5382059800664452,3.0514152823920266,0.9562081949058694,264,-1.0,1.6578073089700993,0.3887043189368772,2.0952070874861572,2.0
2000-06-25,France,Spain,2,1,2110,1962,2.5216156500983775,0.3289036544850499,1.450103215817824,0.7308970099667775,3.0534040447698607,0.40060465116279076,148,-8.0,2.192711995613328,0.7192062058510464,2.65279939360707,2.0
2000-06-28,France,Portugal,2,1,2110,2018,2.3959272322292633,2.3096534653465346,1.3416464218867505,0.6215346534653466,2.948007240923377,2.8165963696369642,92,-1.0,0.0862737668827287,0.7201117684214039,0.1314108712864126,2.0
2000-06-28,Brazil,Uruguay,1,1,2023,1756,1.388704318936877,0.0,1.0598006644518274,1.0,1.6086799557032114,0.0,267,0.0,1.388704318936877,0.05980066445182741,1.6086799557032114,1.0
2000-06-28,Australia,New Zealand,2,0,1778,1540,0.8393564356435643,0.0,0.8707920792079208,0.44999999999999996,1.0502945544554456,0.0,238,-17.0,0.8393564356435643,0.42079207920792083,1.0502945544554456,2.0
2000-06-28,Tunisia,Algeria,2,2,1637,1507,1.8037507917804725,0.9140605086174781,1.2488922554246742,0.44430501362718383,1.8781325778848799,0.8709842029241257,130,-2.0,0.8896902831629944,0.8045872417974904,1.0071483749607542,1.0
2000-06-29,Colombia,Argentina,1,3,1767,2005,0.5382059800664452,0.0,1.196013289036545,0.0,0.6487176079734219,0.0,-238,0.0,0.5382059800664452,1.196013289036545,0.6487176079734219,0.0
2000-07-09,Senegal,Egypt,0,0,1454,1682,0.836414972255446,0.8097345418185338,1.8618654536185566,0.7191029900332225,0.8246157264890231,0.8374491984646648,-228,1.0,0.02668043043691226,1.142762463585334,-0.012833471975641664,1.0
2000-07-09,Morocco,Algeria,2,1,1662,1507,0.55,1.196116504854369,2.75,0.8483727381221173,0.7736666666666667,1.2116734466557002,155,19.0,-0.6461165048543689,1.9016272618778827,-0.4380067799890335,2.0
2000-07-16,Panama,Mexico,0,1,1390,1824,0.0,1.4730268038576912,5.0,1.9317162855207561,0.0,1.6756922233332259,-434,-9.0,-1.4730268038576912,3.068283714479244,-1.6756922233332259,0.0
2000-07-18,Paraguay,Brazil,2,1,1866,2023,0.8874139722750535,1.2606435643564355,0.7313778161212525,1.0400990099009904,1.022636170532604,1.4643740924092408,-157,10.0,-0.37322959208138207,-0.30872119377973783,-0.44173792187663685,2.0
2000-07-19,Argentina,Ecuador,2,0,2005,1691,1.6500000000000001,2.877076411960133,0.55,1.7940199335548175,1.9437,2.9975858250276857,314,-4.0,-1.2270764119601327,-1.2440199335548174,-1.0538858250276857,2.0
2000-07-23,Panama,Canada,0,0,1390,1632,0.0,1.461794019933555,2.8000000000000003,0.3289036544850499,0.0,1.7469900332225912,-242,-23.0,-1.461794019933555,2.47109634551495,-1.7469900332225912,1.0
2000-07-25,Ecuador,Colombia,0,0,1691,1767,1.929207920792079,0.6903465346534653,1.861881188118812,1.7903465346534655,2.0100148514851486,0.8753661716171617,-76,-20.0,1.2388613861386135,0.07153465346534649,1.134648679867987,1.0
2000-07-26,Brazil,Argentina,3,1,2023,2005,1.1858198858845903,1.790697674418605,1.3156604772455445,0.3289036544850499,1.4011106841042331,2.068706533776301,18,1.0,-0.6048777885340146,0.9867568227604946,-0.667595849672068,2.0
2000-08-11,Panama,Ecuador,0,0,1390,1691,0.0,1.3753847963765415,1.6744186046511629,1.3273857375345581,0.0,1.4329942550146075,-301,2.0,-1.3753847963765415,0.34703286711660475,-1.4329942550146075,1.0
2000-08-15,Colombia,Uruguay,1,0,1767,1756,0.49216682025842623,0.55,1.2763867375149507,1.0,0.6240723515225192,0.7417666666666667,11,-9.0,-0.057833179741573815,0.2763867375149507,-0.11769431514414752,2.0
2000-08-15,Mexico,Canada,2,0,1824,1632,1.3590463460716877,0.9801980198019803,1.4662502596196654,0.22054455445544557,1.4952071532568267,1.1714346534653464,192,7.0,0.37884832626970744,1.2457057051642197,0.3237724997914804,2.0
2000-08-16,Argentina,Paraguay,1,1,2005,1866,1.5301980198019804,1.1763909944198947,1.208910891089109,0.801148275973293,1.8314854785478545,1.4576128707974498,139,-8.0,0.35380702538208575,0.40776261511581613,0.37387260775040465,1.0
2000-08-16,Germany,Spain,4,1,1882,1962,0.8754991452440086,0.55,1.78857207367029,1.1490099009900991,1.1023380737347996,0.7320572607260727,-80,0.0,0.3254991452440086,0.6395621726801908,0.37028081300872695,2.0
2000-08-16,Bosnia and Herzegovina,Turkey,2,0,1548,1754,0.8039867109634552,0.5391089108910891,0.9401993355481726,1.0198019801980198,0.7873709856035437,0.641180198019802,-206,0.0,0.26487780007236605,-0.07960264464984723,0.1461907875837417,2.0
2000-09-01,Austria,Iran,5,1,1719,1743,1.0,1.0,1.55,0.9108910891089109,1.2403666666666666,1.1186645214521451,-24,0.0,0.0,0.6391089108910891,0.1217021452145215,2.0
2000-09-02,Egypt,Ivory Coast,1,0,1682,1572,0.6146210450590927,2.0,0.5458280564970476,0.8039867109634552,0.6356575827780387,2.1426799557032115,110,0.0,-1.3853789549409075,-0.2581586544664076,-1.5070223729251726,2.0
2000-09-02,France,England,1,1,2110,1852,2.305851878815841,1.0891089108910892,1.2639202144202724,1.0292079207920792,2.8894610200855952,1.4360790429042902,258,0.0,1.216742967924752,0.23471229362819312,1.453381977181305,1.0
2000-09-02,Belgium,Croatia,0,0,1784,1888,1.2972098586302225,0.7596534653465348,1.2521323111311544,1.1490099009900991,1.6263379933726787,0.894528712871287,-104,0.0,0.5375563932836878,0.10312241014105528,0.7318092805013917,1.0
2000-09-02,Bosnia and Herzegovina,Spain,1,2,1548,1962,1.1980198019801982,0.679182761122331,0.6304455445544553,1.9674516185957138,1.298453795379538,0.8820842074991995,-414,0.0,0.5188370408578672,-1.3370060740412586,0.4163695878803386,0.0
2000-09-03,Uruguay,Ecuador,4,0,1756,1691,0.3289036544850499,1.0181498564655032,1.0,0.9826178111795633,0.4435813953488372,1.0607961487597972,65,-4.0,-0.6892462019804533,0.01738218882043674,-0.61721475341096,2.0
2000-09-03,Mexico,Panama,7,1,1824,1390,1.5048663912707658,0.0,1.1326712592964796,1.1227722772277227,1.6500908068172164,0.0,434,-4.0,1.5048663912707658,0.009898982068756945,1.6500908068172164,2.0
2000-09-20,Mexico,Ecuador,2,0,1824,1691,2.70041516635709,0.7728166411206809,1.1038066360070475,1.7096857075276852,2.702360461493053,0.8051868901148119,133,0.0,1.927598525236409,-0.6058790715206377,1.8971735713782412,2.0
2000-09-27,Qatar,Iran,1,2,1495,1743,2.0,1.0,1.1,2.0847630438618854,2.0060666666666664,1.1265117938863942,-248,4.0,1.0,-0.9847630438618853,0.8795548727802722,0.0
2000-10-02,Qatar,Egypt,0,1,1495,1682,1.5980066445182723,0.7022966145543901,1.461794019933555,0.4216495431497682,1.666757475083056,0.7294674698865512,-187,-25.0,0.8957100299638823,1.0401444767837869,0.9372900051965048,0.0
2000-10-07,South Korea,Australia,4,2,1764,1778,0.6505950863708555,1.1725456363600715,0.0,0.6208113566400658,0.7350497310510252,1.3382397077181494,-14,0.0,-0.521950549989216,-0.6208113566400658,-0.6031899766671242,2.0
2000-10-07,South Africa,France,0,0,1666,2110,1.2210963455149502,2.0217442073149314,2.3531158275005644,1.206500411456893,1.3632211302132051,2.529435677097206,-444,0.0,-0.8006478617999813,1.1466154160436715,-1.166214546884001,1.0
2000-10-07,Colombia,Paraguay,0,2,1767,1866,0.6240686385188529,1.1338878505613565,0.9448650130632519,0.8490635533978655,0.7660417755270995,1.4284696941277968,-99,0.0,-0.5098192120425037,0.09580145966538633,-0.6624279186006973,0.0
